date,category,product_name,sku,price,quantity,sales_amount,region,stock
2026-05-01,家居,环保不锈钢水瓶,HM-001,19.9,40,796.0,US,445
2026-05-02,家居,硅胶折叠餐盒,HM-002,12.5,30,375.0,EU,280
2026-05-03,电子,无线蓝牙耳机,EL-001,39.9,44,1755.6,UK,81
2026-05-04,电子,LED护眼台灯,EL-002,29.9,22,657.8,JP,112
2026-05-05,美妆,天然芦荟面膜,BZ-001,9.9,59,584.1,US,476
2026-05-06,服饰,纯棉基础T恤,FS-001,15.0,24,360.0,EU,340
2026-05-07,家居,环保不锈钢水瓶,HM-001,19.9,12,238.8,UK,97
2026-05-08,家居,硅胶折叠餐盒,HM-002,12.5,54,675.0,JP,109
2026-05-09,电子,无线蓝牙耳机,EL-001,39.9,41,1635.9,US,161
2026-05-10,电子,LED护眼台灯,EL-002,29.9,4,119.6,EU,159
2026-05-11,美妆,天然芦荟面膜,BZ-001,9.9,54,534.6,UK,267
2026-05-12,服饰,纯棉基础T恤,FS-001,15.0,25,375.0,JP,423
2026-05-13,家居,环保不锈钢水瓶,HM-001,19.9,39,776.1,US,395
2026-05-14,家居,硅胶折叠餐盒,HM-002,12.5,22,275.0,EU,170
2026-05-15,电子,无线蓝牙耳机,EL-001,39.9,13,518.7,UK,323
2026-05-16,电子,LED护眼台灯,EL-002,29.9,23,687.7,JP,262
2026-05-17,美妆,天然芦荟面膜,BZ-001,9.9,45,445.5,US,354
2026-05-18,服饰,纯棉基础T恤,FS-001,15.0,50,750.0,EU,484
2026-05-19,家居,环保不锈钢水瓶,HM-001,19.9,43,855.7,UK,485
2026-05-20,家居,硅胶折叠餐盒,HM-002,12.5,17,212.5,JP,280
2026-05-21,电子,无线蓝牙耳机,EL-001,39.9,48,1915.2,US,455
2026-05-22,电子,LED护眼台灯,EL-002,29.9,52,1554.8,EU,373
2026-05-23,美妆,天然芦荟面膜,BZ-001,9.9,56,554.4,UK,253
2026-05-24,服饰,纯棉基础T恤,FS-001,15.0,58,870.0,JP,140
2026-05-25,家居,环保不锈钢水瓶,HM-001,19.9,38,756.2,US,316
2026-05-26,家居,硅胶折叠餐盒,HM-002,12.5,8,100.0,EU,30
2026-05-27,电子,无线蓝牙耳机,EL-001,39.9,10,399.0,UK,176
2026-05-28,电子,LED护眼台灯,EL-002,29.9,19,568.1,JP,397
2026-05-29,美妆,天然芦荟面膜,BZ-001,9.9,26,257.4,US,325
2026-05-30,服饰,纯棉基础T恤,FS-001,15.0,15,225.0,EU,251
2026-05-31,家居,环保不锈钢水瓶,HM-001,19.9,59,1174.1,UK,274
2026-06-01,家居,硅胶折叠餐盒,HM-002,12.5,27,337.5,JP,62
2026-06-02,电子,无线蓝牙耳机,EL-001,39.9,3,119.7,US,349
2026-06-03,电子,LED护眼台灯,EL-002,29.9,29,867.1,EU,376
2026-06-04,美妆,天然芦荟面膜,BZ-001,9.9,8,79.2,UK,437
