SKU,库存,价格,类别
SKU-1000,87,95.21,电子
SKU-1001,171,14.25,美妆
SKU-1002,29,42.81,家居
SKU-1003,134,29.22,家居
SKU-1004,116,47.54,家居
SKU-1005,28,59.49,家居
SKU-1006,149,21.04,家居
SKU-1007,166,66.37,家居
SKU-1008,152,62.6,家居
SKU-1009,61,14.09,家居
SKU-1010,79,47.62,美妆
SKU-1011,35,61.28,美妆
SKU-1012,179,26.17,美妆
SKU-1013,151,67.4,电子
SKU-1014,29,59.2,家居
SKU-1015,149,15.26,家居
SKU-1016,132,71.14,电子
SKU-1017,85,51.8,电子
SKU-1018,97,36.88,家居
SKU-1019,183,80.08,家居
SKU-1020,152,36.92,电子
SKU-1021,92,75.55,电子
SKU-1022,160,98.12,家居
SKU-1023,136,47.53,电子
SKU-1024,43,93.89,电子
SKU-1025,15,96.48,家居
SKU-1026,200,60.13,电子
SKU-1027,92,72.48,美妆
SKU-1028,132,62.09,电子
SKU-1029,22,85.5,电子
SKU-1030,126,72.63,家居
SKU-1031,20,75.7,电子
SKU-1032,170,61.92,美妆
SKU-1033,119,35.51,电子
SKU-1034,176,41.13,电子
SKU-1035,95,25.02,家居
SKU-1036,131,15.21,电子
SKU-1037,38,76.35,电子
SKU-1038,105,92.41,电子
SKU-1039,25,24.87,电子
